"Think Big, Act Localhost: using large scale data techniques at smaller scales for ad hoc data analysis","Even the largest libraries generally do not work with data that would qualify as Big Data, such as the log data represented by Google searches or Facebook posts. That puts some libraries in a bit of a bind, what we might call a ""Medium Data"" problem. The catalog data of a larger library, measured at the scale of a many millions of records, is interesting enough to be the subject of intra-data set analysis, but large enough that it can exceed the simple programming and scripting techniques used for ad hoc analysis.

This talk will present intermediate level programming techniques for working in this intermediary space between larger infrastructure projects and ad hoc, experimental computer programming. It will discuss strategies for how simple scripts that do not utilize databases or search indices can still process millions of records efficiently. The canonical example used to illustrate these techniques will be a simple FRBRization clustering algorithm for approximately 10 million MARC records. FRBR, or Functional Requirements for Bibliographic Records, specifies a model in which multiple instances of the same work, such as the print, electronic and microform copies of the same title, can be clustered together as a single unit."
Exploring Subject Analysis with Annif&#58; Testing a Machine Learning Tool for Subject Heading Creation,"Machine learning has the potential to improve opportunities for metadata enhancement. This poster will present some of the most interesting findings from my project as a LEADING Fellow at the Metadata Research Center at Drexel University, working with OCLC Research. The goal of the project was to test a new machine learning tool called Annif, created by the National Library of Finland. We wanted to see if it could be used to suggest FAST subject headings for MARC records. Annif is a new tool, still in active development, so these results should be considered preliminary. The most striking results came from testing batches of records based on size. There was a noticeable increase in success based on the size of both the training records and testing records. This could have serious implications for the usefulness of this process on catalog records, which are generally short."
Observability in Library Technology,"Observability allows you to observe what's happening inside of your code and ask questions of it. Within the lens of library technology, observability practices can apply to a variety of systems from library application development to server environments.

Observability requires instrumentation to emit data signals, such as traces, logs, and metrics. That data can then be used to troubleshoot, address issues, transfer knowledge within and across team boundaries, and support stakeholders. Thus, Observability can transform both technical and socio-technical systems.

This poster covers core observability concepts and illustrates use cases within library technology. In highlighting sustainable practices that can improve development speed and reduce toil, the goal is to encourage dialog around creating a better socio-technical development experience."
Designing an open-source application to record Library Door Traffic Counter,"Amid the COVID-19 pandemic, the concept of ""social distancing guidelines"" emerged as a crucial measure to mitigate the spread of the virus. These guidelines are particularly challenging to uphold in high-traffic areas such as university libraries, which experience significant footfall during academic semesters. To address this challenge, library officials have turned to technology, including door traffic count applications, to obtain real-time data on patron capacity. This allows them to effectively monitor and manage social distancing measures within the library premises, ensuring the safety of patrons. Although numerous vendor-based solutions exist to address this requirement, this poster focuses on an open-source application designed to monitor real-time door traffic counts at the Oklahoma State University Library."
Move Fast and Fill Things: Using Python for Full-Text Retrieval,"In 2022, a growing systematic review service at a 5 -person academic health sciences library prompted staff to seek creative ways to manage workload while still providing comprehensive service. Access Services staff, who were novice but enthusiastic coders, developed a Python script to expedite retrieval of licensed and Open Access full-text articles (sometimes numbering in the hundreds) for the review teams.  After incorporating more complex Python libraries and API connections to dramatically reduce retrieval time, staff were inspired to adapt the script for interlibrary loan services. This streamlined lending processes in a way that increased the volume of filled requests while decreasing the overall time commitment. With such a small, versatile team, staff time is paramount, and this opened up opportunities for additional projects and responsibilities. Staff continue to refine the script and adapt it in new ways."
The Compassion of DevOps,"A strong DevOps culture helps teams deliver high quality products on predictable schedules. But in my experience, the strongest DevOps culture is the one that recognizes suffering and offers compassion to a technology workforce that is often over tasked and under resourced. This talk will discuss DevOps best practices, but also how the lack of these practices can take a toll on our bodies and spirits, in ways that are not often acknowledged."
Building a Walking Tour App to Increase Knowledge and Empathy for Complex Historical Sites,"Using a wide range of third party software tools and services we have built a customizable walking tour Android app that integrates Geographic Information Systems and archival content. The first iteration of the app has been demonstrated on the site of District Six in Cape Town, where some 60,000 people of color were forcibly removed and their homes, business, and social institutions were demolished by the apartheid government. The app guides users through the historically erased landscape and allows them to understand what used to exist at specific geolocations through a series of descriptive text and historical visual imagery. Users can even use a “slider” to line up and compare the contemporary landscape with the historical built environment before it was demolished. We feel that the affective impact of the erased landscape and what was lost is rendered more meaningful by guiding users to the exact location where homes, houses of worship, business, and social institutions once stood. The app is currently being piloted by the District Six Museum as a tool to train a new generation of walking tour guides. More broadly, the app is designed to be site independent, meaning any physical landscape / location can be used as the basis for a walking tour and where creators can incorporate their own unique sites, points of interest, maps, content, and stories."
The Distant Reader,"The Distant Reader is a tool for... distant reading. Given an almost arbitrary number of files of just about any type, the Reader applies text mining and natural language processing against the input and outputs a data set amenable to computation. These data sets are designed to stand the test of time, meaning they are operating system and network independent. These data sets are akin to library collections, and examples include: 1) the complete works of Jane Austen, 2) 20,000 articles on the topic of COVID-19, or 3) digitized Catholic pamphlets. The Reader not only creates these data sets, but it also provide the ability to analyze -- model -- them. Some of the out-of-the-box modeling techniques include: 1) frequencies of extracted features (ngrams, parts-of-speech, named entities, computed keywords), topic modeling, semantic indexing, Linked Data, and sentence extraction based on given grammars. More recently, work has been done to apply large-language models to the data sets. Just as importantly, one does not need to use the Reader to do analysis; a great deal of analysis can be done against these data sets using off-the-shelf GUI applications or any computer programming language."
"Case Study, Jr.&#58; How Digital Preservation System Designs Can Impact Workflows","How might an institution work around the limitations of their digital preservation system? As an example, or mini-case study, I will explain how our organization, Rice University, modified our archival information packages to work with our preservation system's ingest process. In this case, we are using Archivematica to properly store our digital archival packages. The system can only ingest packages that are around 30 GB in size. However, we have several collections that are significantly larger. For example, the Houston Asian American Archive's digital collection is over 590 GB. How can we ingest this collection when there is a 30 GB threshold per package? Through much trial and error, we devised a workflow that allows us to split our package into multiple parts and use the preservation system to link the parts to back to each other. With this poster, Rice will happily share how we accomplished this task."
From Screenly to OPACs and more&#58; Putting Idle Raspberry Pis to Work,"The presenter's previous work involved conducting semi-structured interviews with librarians who had utilized maker technologies in their library projects, aiming to gain insight into the potential applications and promote awareness of these possibilities. Subsequently, tutorials and code were created and made publicly available on GitHub, to facilitate the development of similar projects across various library settings. This poster showcases the outcomes of a library case study where these GitHub resources were utilized to implement maker projects within an academic library, aiming to evaluate and enhance the projects for broader adoption."
